year,ssp,alpha3,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuarternarytreatment
2025,SSP1,SYR,0.41,0.19,0.02,0.00
2025,SSP1,TCA,0.04,0.00,0.06,0.08
2025,SSP1,TCD,0.04,0.07,0.02,0.00
2025,SSP1,TGO,0.05,0.08,0.01,0.00
2025,SSP1,THA,0.02,0.00,0.06,0.08
2025,SSP1,TJK,0.09,0.15,0.02,0.00
2025,SSP1,TKM,0.02,0.11,0.08,0.10
2025,SSP1,TLS,0.01,0.02,0.15,0.00
2025,SSP1,TON,0.00,0.01,0.04,0.00
2025,SSP1,TTO,0.10,0.00,0.04,0.06
2025,SSP1,TUN,0.15,0.36,0.09,0.00
2025,SSP1,TUR,0.11,0.15,0.35,0.00
2025,SSP1,TZA,0.01,0.11,0.02,0.00
2025,SSP1,UGA,0.03,0.11,0.01,0.00
2025,SSP1,UKR,0.10,0.34,0.03,0.00
2025,SSP1,URY,0.14,0.24,0.05,0.00
2025,SSP1,USA,0.01,0.25,0.43,0.17
2025,SSP1,UZB,0.12,0.11,0.06,0.00
2025,SSP1,VCT,0.00,0.00,0.05,0.04
2025,SSP1,VEN,0.14,0.26,0.02,0.00
2025,SSP1,VIR,0.17,0.17,0.04,0.00
2025,SSP1,VNM,0.01,0.05,0.06,0.00
2025,SSP1,VUT,0.02,0.10,0.02,0.00
2025,SSP1,WSM,0.00,0.01,0.04,0.00
2025,SSP1,YEM,0.14,0.09,0.01,0.00
2025,SSP1,ZAF,0.28,0.25,0.07,0.00
2025,SSP1,ZMB,0.04,0.13,0.03,0.00
2025,SSP1,ZWE,0.17,0.09,0.01,0.00
2030,SSP1,ABW,0.07,0.00,0.13,0.17
2030,SSP1,AFG,0.06,0.08,0.04,0.03
2030,SSP1,AGO,0.08,0.04,0.05,0.02
2030,SSP1,AIA,0.03,0.00,0.13,0.16
2030,SSP1,ALB,0.09,0.24,0.07,0.00
2030,SSP1,AND,0.02,0.52,0.36,0.03
2030,SSP1,ARE,0.11,0.43,0.28,0.03
2030,SSP1,ARG,0.20,0.21,0.08,0.00
2030,SSP1,ARM,0.25,0.24,0.03,0.00
2030,SSP1,ASM,0.04,0.29,0.22,0.03
2030,SSP1,AUS,0.15,0.21,0.43,0.03
2030,SSP1,AUT,0.00,0.01,0.78,0.20
2030,SSP1,AZE,0.15,0.14,0.04,0.03
2030,SSP1,BDI,0.09,0.06,0.04,0.03
2030,SSP1,BEL,0.00,0.06,0.61,0.21
2030,SSP1,BEN,0.04,0.10,0.05,0.00
2030,SSP1,BFA,0.05,0.11,0.04,0.00
2030,SSP1,BGD,0.02,0.13,0.07,0.00
2030,SSP1,BGR,0.01,0.21,0.25,0.20
2030,SSP1,BHR,0.11,0.14,0.48,0.20
2030,SSP1,BHS,0.06,0.00,0.06,0.08
2030,SSP1,BIH,0.06,0.23,0.07,0.00
2030,SSP1,BLR,0.03,0.43,0.32,0.03
2030,SSP1,BLZ,0.04,0.02,0.11,0.02
2030,SSP1,BOL,0.14,0.18,0.04,0.03
2030,SSP1,BRA,0.14,0.26,0.06,0.03
2030,SSP1,BRB,0.01,0.01,0.03,0.04
2030,SSP1,BRN,0.00,0.24,0.17,0.03
2030,SSP1,BTN,0.02,0.02,0.13,0.03
2030,SSP1,BWA,0.05,0.00,0.03,0.03
2030,SSP1,CAF,0.08,0.12,0.00,0.00
2030,SSP1,CAN,0.10,0.44,0.24,0.03
2030,SSP1,CHE,0.00,0.14,0.69,0.21
2030,SSP1,CHL,0.14,0.19,0.43,0.03
2030,SSP1,CHN,0.10,0.09,0.15,0.19
2030,SSP1,CIV,0.04,0.14,0.06,0.00
2030,SSP1,CMR,0.01,0.10,0.05,0.00
2030,SSP1,COD,0.10,0.07,0.07,0.00
2030,SSP1,COG,0.01,0.01,0.15,0.03
2030,SSP1,COL,0.32,0.18,0.04,0.03
2030,SSP1,COM,0.02,0.12,0.04,0.03
2030,SSP1,CPV,0.12,0.10,0.05,0.00
2030,SSP1,CRI,0.04,0.00,0.10,0.12
2030,SSP1,CUB,0.14,0.20,0.04,0.00
2030,SSP1,CYP,0.00,0.30,0.20,0.03
2030,SSP1,CZE,0.00,0.06,0.61,0.20
2030,SSP1,DEU,0.01,0.02,0.79,0.20
2030,SSP1,DJI,0.03,0.09,0.07,0.03
2030,SSP1,DMA,0.05,0.00,0.10,0.12
2030,SSP1,DNK,0.02,0.02,0.74,0.20
2030,SSP1,DOM,0.15,0.03,0.09,0.12
2030,SSP1,DZA,0.31,0.14,0.07,0.00
2030,SSP1,ECU,0.15,0.14,0.04,0.03
2030,SSP1,EGY,0.16,0.22,0.10,0.03
2030,SSP1,ERI,0.07,0.11,0.03,0.00
2030,SSP1,ESH,0.04,0.30,0.08,0.03
2030,SSP1,ESP,0.02,0.22,0.57,0.21
2030,SSP1,EST,0.01,0.09,0.59,0.20
2030,SSP1,ETH,0.04,0.10,0.04,0.03
2030,SSP1,FIN,0.00,0.00,0.72,0.20
2030,SSP1,FJI,0.13,0.13,0.05,0.00
2030,SSP1,FLK,0.07,0.29,0.06,0.03
2030,SSP1,FRA,0.00,0.20,0.49,0.20
2030,SSP1,FRO,0.03,0.52,0.31,0.03
2030,SSP1,GAB,0.03,0.11,0.03,0.00
2030,SSP1,GBR,0.00,0.32,0.49,0.21
2030,SSP1,GEO,0.17,0.21,0.04,0.00
2030,SSP1,GHA,0.02,0.11,0.07,0.00
2030,SSP1,GIN,0.05,0.14,0.04,0.00
2030,SSP1,GLP,0.11,0.20,0.15,0.03
2030,SSP1,GMB,0.05,0.11,0.01,0.00
2030,SSP1,GNB,0.06,0.12,0.03,0.00
2030,SSP1,GNQ,0.03,0.04,0.01,0.01
2030,SSP1,GRC,0.08,0.10,0.50,0.20
2030,SSP1,GRD,0.02,0.00,0.08,0.10
2030,SSP1,GRL,0.01,0.37,0.49,0.03
2030,SSP1,GTM,0.12,0.15,0.12,0.03
2030,SSP1,GUF,0.08,0.17,0.11,0.03
2030,SSP1,GUY,0.02,0.01,0.08,0.02
2030,SSP1,HKG,0.27,0.15,0.16,0.21
2030,SSP1,HND,0.14,0.22,0.04,0.03
2030,SSP1,HRV,0.13,0.21,0.12,0.03
2030,SSP1,HTI,0.00,0.13,0.05,0.03
2030,SSP1,HUN,0.03,0.22,0.38,0.19
2030,SSP1,IDN,0.01,0.04,0.13,0.03
2030,SSP1,IND,0.04,0.07,0.10,0.03
2030,SSP1,IRL,0.08,0.28,0.21,0.17
2030,SSP1,IRN,0.08,0.13,0.06,0.00
2030,SSP1,IRQ,0.07,0.08,0.08,0.03
2030,SSP1,ISL,0.52,0.01,0.27,0.03
2030,SSP1,ISR,0.04,0.26,0.48,0.21
2030,SSP1,ITA,0.03,0.19,0.47,0.03
2030,SSP1,JAM,0.08,0.09,0.05,0.02
2030,SSP1,JOR,0.09,0.46,0.12,0.03
2030,SSP1,JPN,0.00,0.36,0.27,0.19
2030,SSP1,KAZ,0.12,0.14,0.18,0.03
2030,SSP1,KEN,0.03,0.13,0.04,0.03
2030,SSP1,KGZ,0.10,0.14,0.05,0.00
2030,SSP1,KHM,0.04,0.13,0.06,0.01
2030,SSP1,KNA,0.00,0.00,0.08,0.10
2030,SSP1,KOR,0.21,0.25,0.42,0.03
2030,SSP1,KWT,0.15,0.19,0.50,0.21
2030,SSP1,LAO,0.04,0.09,0.09,0.03
2030,SSP1,LBN,0.34,0.21,0.02,0.00
2030,SSP1,LBR,0.08,0.08,0.08,0.00
2030,SSP1,LBY,0.33,0.11,0.03,0.00
2030,SSP1,LCA,0.02,0.00,0.07,0.08
2030,SSP1,LIE,0.00,0.37,0.42,0.21
2030,SSP1,LKA,0.02,0.00,0.11,0.02
2030,SSP1,LSO,0.01,0.08,0.07,0.00
2030,SSP1,LTU,0.07,0.07,0.48,0.20
2030,SSP1,LUX,0.03,0.38,0.39,0.21
2030,SSP1,LVA,0.02,0.23,0.33,0.20
2030,SSP1,MAR,0.25,0.19,0.06,0.00
2030,SSP1,MDA,0.04,0.30,0.08,0.00
2030,SSP1,MDG,0.05,0.09,0.04,0.03
2030,SSP1,MEX,0.15,0.28,0.08,0.03
2030,SSP1,MKD,0.04,0.19,0.08,0.03
2030,SSP1,MLI,0.05,0.09,0.07,0.00
2030,SSP1,MLT,0.05,0.31,0.18,0.01
2030,SSP1,MMR,0.01,0.06,0.07,0.02
2030,SSP1,MNG,0.08,0.00,0.13,0.16
2030,SSP1,MOZ,0.06,0.09,0.06,0.00
2030,SSP1,MRT,0.01,0.09,0.04,0.00
2030,SSP1,MSR,0.09,0.00,0.19,0.03
2030,SSP1,MTQ,0.17,0.17,0.06,0.03
2030,SSP1,MUS,0.12,0.03,0.11,0.02
2030,SSP1,MWI,0.07,0.08,0.04,0.03
2030,SSP1,MYS,0.33,0.09,0.17,0.03
2030,SSP1,NAM,0.13,0.16,0.05,0.00
2030,SSP1,NCL,0.04,0.12,0.12,0.03
2030,SSP1,NER,0.08,0.06,0.07,0.00
2030,SSP1,NGA,0.01,0.10,0.05,0.03
2030,SSP1,NIC,0.06,0.10,0.10,0.03
2030,SSP1,NLD,0.00,0.01,0.82,0.21
2030,SSP1,NOR,0.14,0.01,0.55,0.20
2030,SSP1,NPL,0.04,0.11,0.04,0.03
2030,SSP1,NZL,0.06,0.18,0.44,0.20
2030,SSP1,OMN,0.03,0.14,0.05,0.06
2030,SSP1,PAK,0.14,0.14,0.04,0.03
2030,SSP1,PAN,0.14,0.02,0.12,0.15
2030,SSP1,PER,0.24,0.21,0.08,0.00
2030,SSP1,PHL,0.02,0.05,0.10,0.03
2030,SSP1,PNG,0.01,0.12,0.04,0.03
2030,SSP1,POL,0.00,0.10,0.49,0.19
2030,SSP1,PRI,0.36,0.28,0.05,0.00
2030,SSP1,PRK,0.18,0.16,0.15,0.00
2030,SSP1,PRT,0.04,0.35,0.28,0.03
2030,SSP1,PRY,0.04,0.01,0.09,0.11
2030,SSP1,QAT,0.10,0.11,0.44,0.19
2030,SSP1,REU,0.20,0.07,0.04,0.03
2030,SSP1,ROU,0.06,0.15,0.13,0.16
2030,SSP1,RUS,0.06,0.34,0.15,0.03
2030,SSP1,RWA,0.03,0.10,0.04,0.03
2030,SSP1,SAU,0.07,0.13,0.20,0.14
2030,SSP1,SEN,0.06,0.11,0.05,0.00
2030,SSP1,SGP,0.01,0.15,0.68,0.21
2030,SSP1,SLB,0.15,0.10,0.03,0.00
2030,SSP1,SLE,0.05,0.12,0.02,0.00
2030,SSP1,SLV,0.03,0.14,0.07,0.00
2030,SSP1,SOM,0.19,0.08,0.01,0.00
2030,SSP1,SPM,0.12,0.16,0.10,0.03
2030,SSP1,STP,0.05,0.12,0.01,0.00
2030,SSP1,SUR,0.00,0.00,0.05,0.06
2030,SSP1,SVK,0.11,0.30,0.27,0.03
2030,SSP1,SVN,0.00,0.24,0.24,0.16
2030,SSP1,SWE,0.00,0.03,0.71,0.20
2030,SSP1,SWZ,0.02,0.03,0.07,0.02
2030,SSP1,SYR,0.40,0.22,0.02,0.00
2030,SSP1,TCA,0.03,0.00,0.09,0.10
2030,SSP1,TCD,0.04,0.09,0.05,0.00
2030,SSP1,TGO,0.05,0.11,0.03,0.00
2030,SSP1,THA,0.02,0.00,0.07,0.09
2030,SSP1,TJK,0.08,0.17,0.05,0.00
2030,SSP1,TKM,0.02,0.10,0.10,0.12
2030,SSP1,TLS,0.01,0.02,0.18,0.03
2030,SSP1,TON,0.00,0.01,0.06,0.01
2030,SSP1,TTO,0.09,0.00,0.05,0.07
2030,SSP1,TUN,0.14,0.35,0.14,0.00
2030,SSP1,TUR,0.10,0.14,0.37,0.03
2030,SSP1,TZA,0.01,0.11,0.04,0.03
2030,SSP1,UGA,0.03,0.12,0.04,0.03
2030,SSP1,UKR,0.09,0.33,0.06,0.03
2030,SSP1,URY,0.13,0.24,0.10,0.00
2030,SSP1,USA,0.01,0.23,0.44,0.20
2030,SSP1,UZB,0.11,0.12,0.09,0.02
2030,SSP1,VCT,0.00,0.00,0.06,0.06
2030,SSP1,VEN,0.12,0.26,0.04,0.03
2030,SSP1,VIR,0.16,0.18,0.07,0.03
2030,SSP1,VNM,0.01,0.05,0.08,0.02
2030,SSP1,VUT,0.02,0.11,0.06,0.00
2030,SSP1,WSM,0.00,0.01,0.05,0.01
2030,SSP1,YEM,0.13,0.13,0.02,0.00
2030,SSP1,ZAF,0.26,0.24,0.12,0.00
2030,SSP1,ZMB,0.03,0.13,0.05,0.03
2030,SSP1,ZWE,0.16,0.09,0.04,0.03
2050,SSP1,ABW,0.00,0.00,0.41,0.41
2050,SSP1,AFG,0.17,0.36,0.00,0.00
2050,SSP1,AGO,0.00,0.17,0.07,0.00
2050,SSP1,AIA,0.00,0.00,0.35,0.35
2050,SSP1,ALB,0.22,0.75,0.01,0.00
2050,SSP1,AND,0.00,0.15,0.85,0.00
2050,SSP1,ARE,0.00,0.03,0.94,0.00
2050,SSP1,ARG,0.00,0.71,0.02,0.00
2050,SSP1,ARM,0.38,0.54,0.00,0.00
2050,SSP1,ASM,0.00,0.23,0.75,0.00
2050,SSP1,AUS,0.00,0.07,0.90,0.00
2050,SSP1,AUT,0.00,0.00,0.46,0.46
2050,SSP1,AZE,0.00,0.52,0.02,0.00
2050,SSP1,BDI,0.38,0.26,0.00,0.00
2050,SSP1,BEL,0.00,0.00,0.50,0.50
2050,SSP1,BEN,0.13,0.32,0.00,0.00
2050,SSP1,BFA,0.18,0.30,0.00,0.00
2050,SSP1,BGD,0.00,0.53,0.00,0.00
2050,SSP1,BGR,0.00,0.00,0.47,0.47
2050,SSP1,BHR,0.00,0.00,0.48,0.48
2050,SSP1,BHS,0.00,0.00,0.18,0.18
2050,SSP1,BIH,0.00,0.79,0.07,0.00
2050,SSP1,BLR,0.00,0.23,0.73,0.00
2050,SSP1,BLZ,0.00,0.06,0.34,0.00
2050,SSP1,BOL,0.15,0.66,0.00,0.00
2050,SSP1,BRA,0.00,0.79,0.06,0.00
2050,SSP1,BRB,0.00,0.00,0.09,0.09
2050,SSP1,BRN,0.00,0.41,0.54,0.00
2050,SSP1,BTN,0.00,0.10,0.43,0.00
2050,SSP1,BWA,0.00,0.00,0.07,0.07
2050,SSP1,CAF,0.28,0.19,0.00,0.00
2050,SSP1,CAN,0.00,0.45,0.45,0.00
2050,SSP1,CHE,0.00,0.00,0.49,0.49
2050,SSP1,CHL,0.00,0.46,0.52,0.00
2050,SSP1,CHN,0.00,0.00,0.45,0.45
2050,SSP1,CIV,0.05,0.52,0.00,0.00
2050,SSP1,CMR,0.01,0.36,0.01,0.00
2050,SSP1,COD,0.41,0.28,0.00,0.00
2050,SSP1,COG,0.00,0.05,0.45,0.00
2050,SSP1,COL,0.32,0.63,0.00,0.00
2050,SSP1,COM,0.06,0.52,0.00,0.00
2050,SSP1,CPV,0.00,0.34,0.09,0.00
2050,SSP1,CRI,0.00,0.00,0.27,0.27
2050,SSP1,CUB,0.11,0.61,0.00,0.00
2050,SSP1,CYP,0.00,0.36,0.57,0.00
2050,SSP1,CZE,0.00,0.00,0.47,0.47
2050,SSP1,DEU,0.00,0.00,0.48,0.48
2050,SSP1,DJI,0.00,0.38,0.13,0.00
2050,SSP1,DMA,0.00,0.00,0.26,0.26
2050,SSP1,DNK,0.00,0.00,0.48,0.48
2050,SSP1,DOM,0.00,0.00,0.26,0.26
2050,SSP1,DZA,0.49,0.44,0.00,0.00
2050,SSP1,ECU,0.25,0.59,0.00,0.00
2050,SSP1,EGY,0.00,0.61,0.26,0.00
2050,SSP1,ERI,0.29,0.24,0.00,0.00
2050,SSP1,ESH,0.00,0.76,0.19,0.00
2050,SSP1,ESP,0.00,0.00,0.50,0.50
2050,SSP1,EST,0.00,0.00,0.47,0.47
2050,SSP1,ETH,0.17,0.43,0.00,0.00
2050,SSP1,FIN,0.00,0.00,0.48,0.48
2050,SSP1,FJI,0.42,0.44,0.00,0.00
2050,SSP1,FLK,0.00,0.85,0.08,0.00
2050,SSP1,FRA,0.00,0.00,0.48,0.48
2050,SSP1,FRO,0.00,0.10,0.81,0.00
2050,SSP1,GAB,0.09,0.37,0.00,0.00
2050,SSP1,GBR,0.00,0.00,0.49,0.49
2050,SSP1,GEO,0.24,0.60,0.00,0.00
2050,SSP1,GHA,0.00,0.44,0.01,0.00
2050,SSP1,GIN,0.18,0.43,0.00,0.00
2050,SSP1,GLP,0.00,0.28,0.45,0.00
2050,SSP1,GMB,0.15,0.25,0.00,0.00
2050,SSP1,GNB,0.24,0.28,0.00,0.00
2050,SSP1,GNQ,0.00,0.15,0.00,0.00
2050,SSP1,GRC,0.00,0.00,0.46,0.46
2050,SSP1,GRD,0.00,0.00,0.20,0.20
2050,SSP1,GRL,0.00,0.20,0.75,0.00
2050,SSP1,GTM,0.00,0.51,0.34,0.00
2050,SSP1,GUF,0.00,0.40,0.30,0.00
2050,SSP1,GUY,0.00,0.06,0.22,0.00
2050,SSP1,HKG,0.00,0.00,0.50,0.50
2050,SSP1,HND,0.00,0.82,0.01,0.00
2050,SSP1,HRV,0.00,0.40,0.34,0.00
2050,SSP1,HTI,0.00,0.54,0.04,0.00
2050,SSP1,HUN,0.00,0.00,0.46,0.46
2050,SSP1,IDN,0.00,0.19,0.39,0.00
2050,SSP1,IND,0.00,0.31,0.25,0.00
2050,SSP1,IRL,0.00,0.00,0.41,0.41
2050,SSP1,IRN,0.00,0.38,0.05,0.00
2050,SSP1,IRQ,0.00,0.34,0.17,0.00
2050,SSP1,ISL,0.00,0.04,0.94,0.00
2050,SSP1,ISR,0.00,0.00,0.50,0.50
2050,SSP1,ITA,0.03,0.19,0.67,0.00
2050,SSP1,JAM,0.00,0.33,0.10,0.00
2050,SSP1,JOR,0.00,0.68,0.29,0.00
2050,SSP1,JPN,0.00,0.00,0.44,0.44
2050,SSP1,KAZ,0.00,0.01,0.64,0.00
2050,SSP1,KEN,0.01,0.55,0.00,0.00
2050,SSP1,KGZ,0.09,0.47,0.00,0.00
2050,SSP1,KHM,0.07,0.53,0.00,0.00
2050,SSP1,KNA,0.00,0.00,0.21,0.21
2050,SSP1,KOR,0.00,0.09,0.87,0.00
2050,SSP1,KWT,0.00,0.00,0.50,0.50
2050,SSP1,LAO,0.00,0.37,0.22,0.00
2050,SSP1,LBN,0.79,0.15,0.00,0.00
