alpha3,ssp,year,gdp_per_capita,turbulent_economy
BOL,SSP3,2100,26333.52,False
BOL,SSP4,2024,11329.15,False
BOL,SSP4,2025,11530.28,False
BOL,SSP4,2030,12033.87,False
BOL,SSP4,2050,17704.44,False
BOL,SSP4,2100,52993.97,False
BOL,SSP5,2024,11329.15,False
BOL,SSP5,2025,11530.28,False
BOL,SSP5,2030,12304.12,False
BOL,SSP5,2050,29364.02,False
BOL,SSP5,2100,195573.02,False
BRA,SSP1,2024,19652.37,False
BRA,SSP1,2025,20155.96,False
BRA,SSP1,2030,21543.62,False
BRA,SSP1,2050,41001.77,False
BRA,SSP1,2100,139717.54,False
BRA,SSP2,2024,19652.37,False
BRA,SSP2,2025,20155.96,False
BRA,SSP2,2030,21450.45,False
BRA,SSP2,2050,37352.76,False
BRA,SSP2,2100,129375.6,False
BRA,SSP3,2024,19652.37,False
BRA,SSP3,2025,20155.96,False
BRA,SSP3,2030,21350.91,False
BRA,SSP3,2050,32199.86,False
BRA,SSP3,2100,61281.4,False
BRA,SSP4,2024,19652.37,False
BRA,SSP4,2025,20155.96,False
BRA,SSP4,2030,21361.39,False
BRA,SSP4,2050,37945.14,False
BRA,SSP4,2100,137472.54,False
BRA,SSP5,2024,19652.37,False
BRA,SSP5,2025,20155.96,False
BRA,SSP5,2030,21577.26,False
BRA,SSP5,2050,47044.56,False
BRA,SSP5,2100,221813.18,False
BRB,SSP1,2024,21557.53,False
BRB,SSP1,2025,22409.39,False
BRB,SSP1,2030,24759.95,False
BRB,SSP1,2050,44344.44,False
BRB,SSP1,2100,128346.47,False
BRB,SSP2,2024,21557.53,False
BRB,SSP2,2025,22409.39,False
BRB,SSP2,2030,24660.74,False
BRB,SSP2,2050,38992.95,False
BRB,SSP2,2100,110009.34,False
BRB,SSP3,2024,21557.53,False
BRB,SSP3,2025,22409.39,False
BRB,SSP3,2030,24548.81,False
BRB,SSP3,2050,31644.64,False
BRB,SSP3,2100,45423.23,False
BRB,SSP4,2024,21557.53,False
BRB,SSP4,2025,22409.39,False
BRB,SSP4,2030,24624.88,False
BRB,SSP4,2050,42749.55,False
BRB,SSP4,2100,126748.83,False
BRB,SSP5,2024,21557.53,False
BRB,SSP5,2025,22409.39,False
BRB,SSP5,2030,24835.7,False
BRB,SSP5,2050,51817.56,False
BRB,SSP5,2100,205972.82,False
BRN,SSP1,2024,79071.73,False
BRN,SSP1,2025,78669.17,False
BRN,SSP1,2030,88546.8,False
BRN,SSP1,2050,108627.06,False
BRN,SSP1,2100,138304.4,False
BRN,SSP2,2024,79071.73,False
BRN,SSP2,2025,78669.17,False
BRN,SSP2,2030,88031.68,False
BRN,SSP2,2050,104586.52,False
BRN,SSP2,2100,130326.01,False
BRN,SSP3,2024,79071.73,False
BRN,SSP3,2025,78669.17,False
BRN,SSP3,2030,87634.39,False
BRN,SSP3,2050,96136.49,False
BRN,SSP3,2100,76440.99,False
BRN,SSP4,2024,79071.73,False
BRN,SSP4,2025,78669.17,False
BRN,SSP4,2030,87703.95,False
BRN,SSP4,2050,103031.9,False
BRN,SSP4,2100,130288.27,False
BRN,SSP5,2024,79071.73,False
BRN,SSP5,2025,78669.17,False
BRN,SSP5,2030,88424.18,False
BRN,SSP5,2050,118725.33,False
BRN,SSP5,2100,214351.46,False
BTN,SSP1,2024,15603.89,False
BTN,SSP1,2025,15931.14,False
BTN,SSP1,2030,18830.86,False
BTN,SSP1,2050,34697.41,False
BTN,SSP1,2100,105086.49,False
BTN,SSP2,2024,15603.89,False
BTN,SSP2,2025,15931.14,False
BTN,SSP2,2030,18712.25,False
BTN,SSP2,2050,30607.36,False
BTN,SSP2,2100,90429.87,False
BTN,SSP3,2024,15603.89,False
BTN,SSP3,2025,15931.14,False
BTN,SSP3,2030,18615.34,False
BTN,SSP3,2050,25201.61,False
BTN,SSP3,2100,34358.54,False
BTN,SSP4,2024,15603.89,False
BTN,SSP4,2025,15931.14,False
BTN,SSP4,2030,18613.79,False
BTN,SSP4,2050,27377.14,False
BTN,SSP4,2100,60555.85,False
BTN,SSP5,2024,15603.89,False
BTN,SSP5,2025,15931.14,False
BTN,SSP5,2030,18853.33,False
BTN,SSP5,2050,40546.54,False
BTN,SSP5,2100,171841.04,False
BWA,SSP1,2024,18107.61,False
BWA,SSP1,2025,18880.56,False
BWA,SSP1,2030,21491.45,False
BWA,SSP1,2050,34816.24,False
BWA,SSP1,2100,96632.96,False
BWA,SSP2,2024,18107.61,False
BWA,SSP2,2025,18880.56,False
BWA,SSP2,2030,21455.42,False
BWA,SSP2,2050,32223.48,False
BWA,SSP2,2100,82331.05,False
BWA,SSP3,2024,18107.61,False
BWA,SSP3,2025,18880.56,False
BWA,SSP3,2030,21520.66,False
BWA,SSP3,2050,28490.96,False
BWA,SSP3,2100,38172.1,False
BWA,SSP4,2024,18107.61,False
BWA,SSP4,2025,18880.56,False
BWA,SSP4,2030,21485.16,False
BWA,SSP4,2050,32527.62,False
BWA,SSP4,2100,82330.35,False
BWA,SSP5,2024,18107.61,False
BWA,SSP5,2025,18880.56,False
BWA,SSP5,2030,21429.49,False
BWA,SSP5,2050,39184.44,False
BWA,SSP5,2100,153210.98,False
CAF,SSP1,2024,1111.22,False
CAF,SSP1,2025,1097.87,False
CAF,SSP1,2030,1198.51,False
CAF,SSP1,2050,3338.31,False
CAF,SSP1,2100,34660.85,False
CAF,SSP2,2024,1111.22,False
CAF,SSP2,2025,1097.87,False
CAF,SSP2,2030,1175.61,False
CAF,SSP2,2050,2644.85,False
CAF,SSP2,2100,23956.8,False
CAF,SSP3,2024,1111.22,False
CAF,SSP3,2025,1097.87,False
CAF,SSP3,2030,1162.08,False
CAF,SSP3,2050,1903.07,False
CAF,SSP3,2100,5515.29,False
CAF,SSP4,2024,1111.22,False
CAF,SSP4,2025,1097.87,False
CAF,SSP4,2030,1167.73,False
CAF,SSP4,2050,1976.53,False
CAF,SSP4,2100,6876.87,False
CAF,SSP5,2024,1111.22,False
CAF,SSP5,2025,1097.87,False
CAF,SSP5,2030,1209.54,False
CAF,SSP5,2050,4084.13,False
CAF,SSP5,2100,58769.28,False
CAN,SSP1,2024,57534.09,False
CAN,SSP1,2025,58675.56,False
CAN,SSP1,2030,63844.9,False
CAN,SSP1,2050,94466.28,False
CAN,SSP1,2100,166646.24,False
CAN,SSP2,2024,57534.09,False
CAN,SSP2,2025,58675.56,False
